pq_area,pq_id,pq_nome,pq_PrefReg,uc_nome,uc_categor,uc_lei,uc_gestao,uc_area,layer,path,area_pq_m2,cd_categ,area_veg_m
"73840.17","20",Aguas,Itaim Paulista,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,52506.53474,"14.00",844.28535
"73840.17","21",Aguas,Itaim Paulista,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,14677.36074,"13.00",14364.25357
"23064.75","22",Central Do Itaim Paulista,Itaim Paulista,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,23064.77063,"13.00",21713.47322
"23669.2","23",Altos Da Baronesa,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,23669.19173,"11.00",2365.39927
"23669.2","23",Altos Da Baronesa,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,23669.19173,"13.00",3598.50391
"23669.2","23",Altos Da Baronesa,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,23669.19173,"9.00",17590.05672
"61790.07","24",Chico Mendes,Itaim Paulista,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,61790.08760,"13.00",58714.15186
"141502.8","25",Guarapiranga,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,141502.87268,"13.00",122004.21644
"141502.8","25",Guarapiranga,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,141502.87268,"9.00",13927.01592
"191885.3","26",Mboi Mirim,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,191885.34850,"10.00",142406.45599
"191885.3","26",Mboi Mirim,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,191885.34850,"11.00",5130.98640
"191885.3","26",Mboi Mirim,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,191885.34850,"13.00",40536.05387
"191885.3","26",Mboi Mirim,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,191885.34850,"14.00",728.13134
"75448.44","27",Jardim Herculano,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,75448.33952,"11.00",42.35444
"75448.44","27",Jardim Herculano,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,75448.33952,"13.00",8967.27929
"75448.44","27",Jardim Herculano,Mboi Mirim,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,75448.33952,"9.00",65935.58590
"182319.9","28",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,90847.21317,"11.00",10961.91158
