"parque_id","nome_parque","classificacao_area_verde","area_m2","categoria_area_verde"
205,"LINEAR DO CORREGO DO BISPO","Parque Municipal Proposto: em Implantação",1277949.09,"Linear"
206,"CLUBE MATARAZZO","Parque Municipal Proposto: em Planejamento",26690.46,"Urbano"
207,"MATA DA RUA DOS RODRIGUES","Parque Municipal Proposto: em Planejamento",8578.8,"Urbano"
208,"LINEAR FEITICO DA VILA FASE 1","Parque Municipal Proposto: em Implantação",38239.28,"Linear"
209,"BURLE MARX","Parque Municipal Existente",180549.13,"Urbano"
210,"DOS EUCALIPTOS","Parque Municipal Existente",16675.55,"Urbano"
211,"SANTO DIAS","Parque Municipal Existente",136040.92,"Urbano"
212,"RUA CLIPPERTON","Parque Municipal Proposto: em Planejamento",22138.45,"Urbano"
213,"JARDIM MACEDONIA","Parque Municipal Proposto: em Planejamento",9550.65,"Urbano"
214,"LINEAR FEITICO DA VILA FASE 2","Parque Municipal Proposto: em Planejamento",6254.61,"Linear"
215,"VILA ANDRADE AREAS VERDES","Parque Municipal Proposto: em Planejamento",163387.28,"Urbano"
216,"LINEAR ITAPAIUNA","Parque Municipal Proposto: em Implantação",159495.38,"Linear"
217,"LINEAR IVAR BECKMAN (DINIZ)","Parque Municipal Proposto: em Implantação",29252.22,"Linear"
218,"PARAISOPOLIS FASE 2","Parque Municipal Proposto: em Implantação",11048.36,"Urbano"
219,"MORUMBI SUL","Parque Municipal Proposto: em Implantação",83503.76,"Urbano"
220,"LINEAR PIRES CABORE","Parque Municipal Proposto: em Implantação",80593.83,"Linear"
221,"PREVIDENCIA","Parque Municipal Existente",89312.99,"Urbano"
222,"LINEAR AGUA PODRE (ESMERALDA)","Parque Municipal Proposto: em Implantação",88635.86,"Linear"
223,"ALFREDO VOLPI","Parque Municipal Existente",135857.99,"Urbano"
224,"COHAB RAPOSO TAVARES FASE 1 (JULIANA DE CARVALHO TORRES)","Parque Municipal Existente",15366.97,"Urbano"
225,"COLINA DE SAO FRANCISCO","Parque Municipal Existente",47787.78,"Urbano"
226,"LINEAR SAPE","Parque Municipal Existente",34392.23,"Linear"
227,"LUIZ CARLOS PRESTES","Parque Municipal Existente",29672.77,"Urbano"
228,"RAPOSO TAVARES","Parque Municipal Existente",211496.81,"Urbano"
229,"RESERVA DO MORUMBI","Parque Municipal Existente",15079.24,"Urbano"
230,"DA FONTE","Parque Municipal Proposto: em Planejamento",35636.71,"Urbano"
231,"LINEAR CAXINGUI","Parque Municipal Proposto: em Planejamento",22619.16,"Linear"
232,"CHACARA DO JOCKEY","Parque Municipal Proposto: em Planejamento",146089.27,"Urbano"
233,"CHARQUE GRANDE","Parque Municipal Proposto: em Planejamento",13762.04,"Linear"
234,"JACAREZINHO","Parque Municipal Proposto: em Planejamento",74295.46,"Linear"
235,"LINEAR ITAIM","Parque Municipal Proposto: em Planejamento",58942.8,"Linear"
236,"PASSAGEM GRANDE","Parque Municipal Proposto: em Planejamento",88477.51,"Linear"
237,"COHAB RAPOSO TAVARES FASE 2 (JULIANA DE CARVALHO TORRES)","Parque Municipal Proposto: em Implantação",35633.96,"Urbano"
238,"LINEAR CORVETA CAMACUA","Parque Municipal Proposto: em Implantação",55284.86,"Linear"
239,"LINEAR SERGIO VIEIRA DE MELLO (CORREGO ITARARE)","Parque Municipal Proposto: em Implantação",64939.74,"Linear"
240,"LINEAR SERGIO VIEIRA DE MELO (CORREGO ITARARE) - PRACA","Parque Municipal Proposto: em Implantação",975.42,"Linear"
241,"LINEAR NASCENTES DO JAGUARE","Parque Municipal Proposto: em Implantação",88362.56,"Linear"
242,"MATA DO IPESP","Parque Municipal Proposto: em Planejamento",2317.65,"Urbano"
243,"MATA DO IPESP","Parque Municipal Proposto: em Planejamento",9714.3,"Urbano"
244,"LINEAR ITAIM AMPLIACAO FASE3","Parque Municipal Proposto: em Planejamento",191517.85,"Linear"
245,"LINEAR ITAIM AMPLIACAO FASE2","Parque Municipal Proposto: em Planejamento",79671.87,"Linear"
246,"LINEAR SARAH","Parque Municipal Proposto: em Planejamento",25267.16,"Linear"
247,"LINEAR IPIRANGUINHA","Parque Municipal Existente",18955.77,"Linear"
248,"CENTRO EDUCATIVO, RECREATIVO E ESPORTIVO DO TRABALHADOR - CERET","Parque Municipal Existente",270102.45,"Urbano"
249,"LINEAR DO CORREGO RAPADURA","Parque Municipal Existente",16437,"Linear"
250,"CEMITERIO VILA FORMOSA","Parque Municipal Proposto: em Planejamento",398650.69,"Urbano"
251,"TAPERA","Parque Municipal Proposto: em Planejamento",148193.38,"Linear"
252,"JARDIM PRAINHA","Parque Municipal Proposto: em Implantação",91649.18,"Urbano"
253,"LINEAR RIBEIRAO COCAIA - CHACARA TANAY","Parque Municipal Proposto: em Implantação",48826.23,"Linear"
254,"LINEAR RIBEIRAO COCAIA - NUCLEO CHACARA DO CONDE","Parque Municipal Proposto: em Implantação",18197.93,"Linear"
255,"LINEAR RIBEIRAO COCAIA - OPCAO BRASIL","Parque Municipal Proposto: em Implantação",24578.58,"Linear"
256,"ARISTOCRATAS","Parque Municipal Proposto: em Implantação",34946.11,"Linear"
257,"AMERICA","Parque Municipal Existente",10911.84,"Linear"
258,"BARRAGEM DE GUARAPIRANGA","Parque Municipal Existente",291167.7,"Natural"
259,"CANTINHO DO CEU FASE 1","Parque Municipal Existente",47679.54,"Urbano"
260,"CASTELO (ORLA DO GUARAPIRANGA)","Parque Municipal Existente",76798.41,"Linear"
261,"GUANHEMBU","Parque Municipal Existente",69653.53,"Urbano"
262,"JACQUES COUSTEAU","Parque Municipal Existente",66886.56,"Urbano"
263,"LINEAR SAO JOSE FASE 1","Parque Municipal Existente",26622.3,"Linear"
264,"NATURAL MUNICIPAL VARGINHA (RODOANEL)","Parque Municipal Existente",4209829.15,"Natural"
265,"NATURAL MUNICIPAL BORORE (RODOANEL)","Parque Municipal Existente",1931476.42,"Natural"
266,"SHANGRILA","Parque Municipal Existente",69371.86,"Urbano"
267,"NOVE DE JULHO (ORLA DO GUARAPIRANGA)","Parque Municipal Existente",613030.02,"Urbano"
268,"PRAIA DE SAO PAULO (PRAIA DO SOL FASE 1) (ORLA GUARAPIRANGA)","Parque Municipal Existente",40569.82,"Urbano"
