"ID","nome_pq","class_area_verde","categoria_area_verde","area_pq","cd_coord_x","cd_coord_y"
281,"MORRO DO CRUZEIRO FASE 2 B","Parque Municipal Proposto: em Planejamento","Urbano",204205.93,353753.212857143,7384895.46357143
285,"MORRO GRANDE","Parque Municipal Proposto: em Planejamento","Urbano",599243.54,325666.743777778,7403855.258
286,"NATURAL CABECEIRAS DO ARICANDUVA FASE 1 (MAR MORTO/CANAL DE SUEZ)","Parque Municipal Proposto: em Planejamento","Natural",59096.84,356098.735172414,7386796.83551724
286,"NATURAL CABECEIRAS DO ARICANDUVA FASE 2","Parque Municipal Proposto: em Planejamento","Natural",2422482.71,356278.702990654,7386770.3364486
288,"NATURAL DO GRAMADO","Parque Municipal Proposto: em Planejamento","Natural",8534058,319375.424676617,7352330.51328358
289,"NHO CHICO","Parque Municipal Proposto: em Planejamento","Urbano",117540.58,320545.071428571,7378547.00071429
290,"ORLA GUARAPIRANGA MBOI MIRIM","Parque Municipal Proposto: em Planejamento","Natural",6234464.13,319704.94704918,7373911.92989071
291,"OYENO","Parque Municipal Proposto: em Planejamento","Urbano",146265.39,339097.18826087,7399905.22826087
295,"PASSAGEM GRANDE","Parque Municipal Proposto: em Planejamento","Linear",88477.51,316984.149714286,7389369.93314286
296,"PONTE RASA","Parque Municipal Proposto: em Planejamento","Linear",637384.93,348387.384142012,7398641.01420118
297,"PRAIA DE SAO PAULO (ORLA GUARAPIRANGA)","Parque Municipal Proposto: em Planejamento","Urbano",108012.42,325150.180196078,7378197.30058824
297,"PRAIA DE SAO PAULO (PRAIA DO SOL FASE 1) (ORLA GUARAPIRANGA)","Parque Municipal Existente","Urbano",40569.82,324993.382857143,7378370.68357143
308,"RINCAO","Parque Municipal Proposto: em Planejamento","Linear",143459.02,343215.45875,7396811.234375
309,"RUA CLIPPERTON","Parque Municipal Proposto: em Planejamento","Urbano",22138.45,324253.39,7385740.62
310,"RUA PADRE BENEDITO MARIA CARDOSO","Parque Municipal Proposto: em Planejamento","Urbano",4675.15,337431.15,7394289.38
311,"SABBADO DANGELO","Parque Municipal Proposto: em Planejamento","Urbano",11065.04,352195.0225,7396130.0675
312,"SANTA MARIA FASE 1","Parque Municipal Proposto: em Planejamento","Natural",3500657.52,335775.95475,7407060.712
312,"SANTA MARIA FASE 2","Parque Municipal Proposto: em Planejamento","Natural",759925.5,336343.016769231,7407202.40338462
316,"SAO LUCAS / LINHAS CORRENTE","Parque Municipal Proposto: em Planejamento","Urbano",180355.13,341308.411538462,7390687.01230769
344,"SAO MATEUS","Parque Municipal Proposto: em Planejamento","Linear",486848.96,350514.871666667,7387178.31087719
357,"TAPERA","Parque Municipal Proposto: em Planejamento","Linear",148193.38,345731.949166667,7391633.23
358,"TIJUCO PRETO","Parque Municipal Proposto: em Planejamento","Linear",157414.82,358726.857659574,7400967.43191489
359,"TREMEMBE","Parque Municipal Proposto: em Planejamento","Urbano",415653.39,334154.781578947,7405877.41631579
359,"TREMEMBE-FONTE GIOCONDA","Parque Municipal Proposto: em Planejamento","Urbano",13130.39,334859.92,7405910.82
360,"TRES PONTES","Parque Municipal Proposto: em Planejamento","Linear",267129.05,360078.1272,7400847.5088
361,"TUNEY ARANTES","Parque Municipal Proposto: em Planejamento","Urbano",7057.04,328114.9,7382133.37
365,"URBANO LINEAR 1 (RODOANEL)","Parque Municipal Proposto: em Planejamento","Urbano",309485.64,323201.630392157,7366787.78215686
366,"VARZEA DO COCAIA 1 FASE","Parque Municipal Proposto: em Planejamento","Linear",136442.76,328577.635671642,7371410.73552239
367,"VILA ANDRADE AREAS VERDES","Parque Municipal Proposto: em Planejamento","Urbano",163387.28,321940.682903226,7385620.03774194
374,"VILA CALIFORNIA","Parque Municipal Proposto: em Planejamento","Urbano",25334.94,341409.725,7388663.09
375,"VILA ESTER (SITIO NIASI CHOFI)","Parque Municipal Proposto: em Planejamento","Urbano",61962.8,331219.516666667,7400926.05888889
376,"CRATERA DE COLONIA - FASE 2","Parque Municipal Proposto: em Planejamento","Natural",11794837.29,326893.323744292,7361165.58490868
386,"ALTO DA BOA VISTA","Parque Municipal Proposto: em Implantação","Urbano",10263.38,328074.56,7383835.06
387,"BORDA CANTAREIRA NUCLEO TAIPAS","Parque Municipal Proposto: em Implantação","Urbano",1528128.03,325442.793295455,7407925.72511364
388,"BRASILANDIA","Parque Municipal Proposto: em Implantação","Urbano",415660.67,325857.379756098,7405756.78390244
388,"BRASILANDIA B","Parque Municipal Proposto: em Implantação","Urbano",174776.49,325496.981851852,7405846.85148148
402,"CEU TRES LAGOS FASE 2","Parque Municipal Proposto: em Implantação","Urbano",35883.43,328870.675,7370469.6375
405,"DARCY SILVA","Parque Municipal Proposto: em Implantação","Urbano",36508.55,327203.104666667,7381131.724
408,"LINEAR CABUCU DE CIMA","Parque Municipal Proposto: em Implantação","Linear",34538.89,340494.932903226,7402588.87322581
408,"LINEAR CABUCU DE CIMA FASE 2 (COM_DUP)","Parque Municipal Proposto: em Implantação","Linear",2586.79,340503.8,7402280.395
410,"LINEAR CIPOABA","Parque Municipal Proposto: em Implantação","Linear",150344.54,350307.673333333,7386407.69041667
416,"LINEAR CORREGO VERDE","Parque Municipal Proposto: em Implantação","Linear",47896.6,327901.156326531,7394142.7577551
417,"LINEAR CORVETA CAMACUA","Parque Municipal Proposto: em Implantação","Linear",55284.86,324043.226666667,7389688.65666667
419,"LINEAR DO CORREGO DO BISPO","Parque Municipal Proposto: em Implantação","Linear",1277949.09,330248.638928571,7405395.06416667
421,"LINEAR DO RIBEIRAO PERUS FASE 1","Parque Municipal Proposto: em Implantação","Linear",670293.55,321280.445416667,7407909.28375
421,"LINEAR DO RIBEIRAO PERUS FASE 2","Parque Municipal Proposto: em Implantação","Linear",267501.1,321955.993488372,7409368.23093023
