"ID","classe_11","classe_13","classe_14","classe_7","classe_8","classe_9","classe_5","classe_15","classe_2","classe_3","classe_10","classe_12","classe_1","classe_4","classe_6"
237,80666609684,81282400780,2850487298,16258414424,114409845,29650904776,12667804321,3987477988,45936219055,23961340826,3519664258,398104957,NA,NA,NA
239,14745778179,33454728935,992825031,NA,NA,9458174301,NA,NA,141163375011,7240591301,2822659719,663407964,768872393045,NA,NA
240,207915023118,45118298927,1266845738,NA,NA,NA,NA,5637141119,52496495588,30179528228,86871830075,NA,NA,NA,NA
242,1186092351,1105369955,139697703,NA,NA,4178339317,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,99216589042,12766089,NA,855094441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2564969922,22748692935,2422876706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,2445997530,1928358803,30214743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,1130260097,4104402564,550870375,NA,NA,29195059200,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,36202826815,29053925910,5079523470,1970158114,464745027,9509395035,1279419891,3287189849,NA,NA,NA,1079253776,NA,NA,NA
249,17416443553,5263350020,515541208,NA,NA,NA,NA,1736799854,NA,NA,NA,NA,NA,NA,NA
250,NA,268954004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,3872663769,30625509971,5600368405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,11079831464,25869510,67852706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,537627509,14360830384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,89903653525,37257514528,1462366521,300593844,NA,26972678974,NA,5435450016,284566304409,66337565957,10372575150,NA,966820816823,NA,NA
262,83183664552,70701173218,317803210,NA,NA,63734698474,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,NA,30870874118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,2662741690,6923665226,427693663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,3664849924,56884125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,50771334677,44308610905,3543385832,16828823482,2380266902,NA,9673159683,NA,NA,NA,NA,1274051603,NA,NA,NA
278,1369696677,9038415582,NA,1740414079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,NA,2598027542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,234356279707,1482017971,11250350,NA,NA,NA,NA,NA,18955690030,2197781368,NA,NA,NA,NA,NA
285,20568387258,14541654698,1233453492,NA,NA,24719044086,NA,NA,NA,NA,8014003339,NA,NA,NA,NA
286,100387919753,34182824102,1317401448,208736551,NA,NA,NA,55131356311,192120715353,16473661246,NA,37017131,NA,NA,NA
288,271531547550,71293402966,1444761289,122578747384,NA,6172857569,48075806710,208947594262,344186694090,133848086909,7976144763,1186100859,109685395853,NA,NA
289,804334280,11147890892,11895001,NA,NA,6368963648,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,213945148667,157648402149,14816859704,22122190813,4392764480,47883150401,14736813962,12904895945,63102222986,35599368579,3158801694,4299089922,NA,NA,NA
291,4662258129,6344460246,789882301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,5340951120,5982933219,197318792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,10931419598,17885102212,580438739,55534200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,13778023553,9806546164,744513493,7944279531,NA,NA,133523570,NA,NA,NA,NA,NA,NA,NA,NA
308,2105843838,7879240574,613282346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,100398102195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,683852405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,258969312,622703245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,92480501404,329585920645,4732196272,705220858,NA,83304819542,NA,8165197480,321681862810,174532135945,1254880915,10566658755,966820816823,NA,NA
316,1413149306,6837976635,496114347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,6007429043,4416649722,577092996,NA,NA,4464147045,NA,NA,NA,NA,NA,769387519,NA,NA,NA
357,4826569415,1538280136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,2033877129,1527800287,71769790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,1540007391,22891223924,597479373,NA,NA,33108794001,NA,NA,4536496249,20628718441,NA,NA,NA,NA,NA
360,6608865621,791153028,3032942079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,2457900333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,16396277995,15261896953,1512957001,6142783205,NA,4579381817,644271957,3187614608,37550150505,18657329751,660586311,56730186,NA,NA,NA
366,3498895051,2590952415,349114935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,18967719140,13753340107,10062682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,3541576851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,2415711306,3604521347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,404139021029,164279364982,10354441973,32933188217,1356200107,37472787370,40932391307,189379705625,908910115232,990439707205,183543324825,75261959256,230468866115,NA,NA
386,NA,111332989316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,10498398034,30550053487,1118602550,NA,NA,15128421144,NA,13234584523,339557818684,43135630749,2132374728,NA,NA,NA,NA
388,29376785034,101699052142,1095904917,NA,NA,31137493062,NA,NA,NA,NA,NA,97279954,NA,NA,NA
402,NA,3399997712,590409158,NA,NA,NA,NA,NA,NA,NA,NA,45660045,NA,NA,NA
405,38050890,3949450982,13175038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,284135474,2060365449,31145534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,853748625,9015506748,9648021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,21783987,7382540217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,235323819,7556009031,17699069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,20071123081,26829858681,520062718,2703701235,NA,NA,NA,NA,175204904802,9920721080,NA,112851107,NA,NA,NA
421,401355037750,38068645799,3741134591,4646429537,NA,54619705111,NA,28491370097,NA,NA,14135513451,NA,NA,NA,NA
434,86830677493,84659804095,2297617353,2054076226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,820608276,275585300286,408812357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,114575612,9548961621,88999786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,1181162503,3427310400,82098632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,80800156445,15675985369,3132884110,749394855,NA,NA,NA,11862549542,9124595699,15075588675,NA,3818889174,NA,NA,NA
449,7280399984,11006673408,602384855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,114157381979,12102659690,655569125,NA,NA,NA,NA,NA,238826058656,5384861322,3308011397,NA,NA,NA,NA
451,2035063259,4202007183,35985012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,158461251,16650787981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,27673928272,12896370149,1075600521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,649677294,53931196805,117188885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,50275516125,8961206168,629264352,NA,NA,8043124833,NA,9041236955,20435040356,1783796275,NA,NA,NA,NA,NA
463,NA,130742571579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,3092194211,16353659,14130153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,3687177158,138198664271,295016580,NA,NA,NA,NA,38919844485,NA,NA,NA,NA,NA,NA,NA
469,19181797,19080234396,586477481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,123994374933,419659215,NA,NA,NA,NA,22869182760,21896101546,40405740480,99042892625,7766296577,4308604502,NA,NA,NA
475,371583330,2336453580,95054391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,816536790,949629356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,146432487,NA,10803560,NA,NA,1117715688,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,NA,6298771068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,310166377,2647756762,236606959,NA,11674015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,573701702,2658156792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,151871662371,140403827,4153562,NA,NA,15174042148,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,9831056886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,1600146651,8198988919,91210950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,23105740,11132714991,42523079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,36705847140,63751141083,7073943145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,26307635097,121310212263,4783305273,4020744473,473999513,5215374187998,1123726285,NA,993832621140,28243819040,NA,NA,NA,NA,NA
491,8021689512,10638462050,689420580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,15398379427,7323635371,245675069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,232789869201,150239961435,36402835172,86602173829,6348006897,1125550821,80993176630,193508193343,NA,NA,NA,149024519,NA,NA,NA
496,51048230390,243919892111,1382066801,53518301308,336245683,20339980763,7825872740,344343061,54467473615,108570767567,2632804468,NA,NA,NA,NA
497,42281583046,21223692556,24535968835,269137829,NA,21219203258,NA,21183483467,1480217412092,66666338958,NA,NA,1712961592,NA,NA
498,13918127681,7348100312,14024505246,2720876941,NA,NA,NA,119916620642,1434844786358,471953681280,61062435492,2891066619,26454536272902,587252633401013,588559080124
500,NA,NA,NA,NA,NA,NA,NA,NA,NA,590855578,NA,NA,NA,NA,NA
501,24667654481,86155266295,11944493499,3882744628,166880243,192577712791,NA,NA,584530279797,552674328043,NA,NA,3014899259,NA,NA
